idx,training_joint,qpos_addr,qvel_addr,actuator_addr,kp,kd,scale
0,left_shoulder_pitch_joint,22,21,15,14.2506,0.907223,0.438577
1,right_shoulder_pitch_joint,29,28,22,14.2506,0.907223,0.438577
2,waist_pitch_joint,7,6,0,28.5012,1.81445,0.438577
3,left_shoulder_roll_joint,23,22,16,14.2506,0.907223,0.438577
4,right_shoulder_roll_joint,30,29,23,14.2506,0.907223,0.438577
5,waist_roll_joint,8,7,1,28.5012,1.81445,0.438577
6,left_shoulder_yaw_joint,24,23,17,14.2506,0.907223,0.438577
7,right_shoulder_yaw_joint,31,30,24,14.2506,0.907223,0.438577
8,waist_yaw_joint,9,8,2,40.1792,2.55789,0.547546
9,left_elbow_joint,25,24,18,14.2506,0.907223,0.438577
10,right_elbow_joint,32,31,25,14.2506,0.907223,0.438577
11,left_hip_pitch_joint,10,9,3,40.1792,2.55789,0.547546
12,right_hip_pitch_joint,16,15,9,40.1792,2.55789,0.547546
13,left_wrist_roll_joint,26,25,19,14.2506,0.907223,0.438577
14,right_wrist_roll_joint,33,32,26,14.2506,0.907223,0.438577
15,left_hip_roll_joint,11,10,4,99.0984,6.3088,0.350661
16,right_hip_roll_joint,17,16,10,99.0984,6.3088,0.350661
17,left_wrist_pitch_joint,27,26,20,16.7783,1.06814,0.0745009
18,right_wrist_pitch_joint,34,33,27,16.7783,1.06814,0.0745009
19,left_hip_yaw_joint,12,11,5,40.1792,2.55789,0.547546
20,right_hip_yaw_joint,18,17,11,40.1792,2.55789,0.547546
21,left_wrist_yaw_joint,28,27,21,16.7783,1.06814,0.0745009
22,right_wrist_yaw_joint,35,34,28,16.7783,1.06814,0.0745009
23,left_knee_joint,13,12,6,99.0984,6.3088,0.350661
24,right_knee_joint,19,18,12,99.0984,6.3088,0.350661
25,left_ankle_pitch_joint,14,13,7,28.5012,1.81445,0.438577
26,right_ankle_pitch_joint,20,19,13,28.5012,1.81445,0.438577
27,left_ankle_roll_joint,15,14,8,28.5012,1.81445,0.438577
28,right_ankle_roll_joint,21,20,14,28.5012,1.81445,0.438577
